gamma,lambda_base,eg_blend,rebalance_freq,eta0,wf_oos_sharpe,wf_oos_pnl_pct,wf_fold_sharpes,val_pnl_pct,val_sharpe,val_sortino,val_max_dd,val_mc_prob_above_target,val_mc_mean_terminal,val_mc_median_terminal,status,search_phase,tpe_score,composite_score
0.4,0.04,0.5,5,0.8,0.8976,49.493,"[0.9879, 1.5713, 0.6264]",31.646,0.5102,0.6944,0.2989,0.428,142286.67,136387.94,ok,grid,,1.815
1.2,0.06,0.35,3,0.8,0.8811,43.947,"[1.0427, 1.6529, 0.4618]",31.323,0.5127,0.6927,0.3137,0.4285,141787.63,136248.94,ok,grid,,1.81025
1.5,0.05,0.2,3,2.0,0.773,34.874,"[0.9518, 1.7182, 0.192]",32.957,0.5279,0.712,0.319,0.4445,143678.38,137815.88,ok,grid,,1.8034000000000001
0.5,0.02,0.6,5,1.0,0.9419,57.765,"[0.9027, 1.5704, 0.7931]",30.326,0.4794,0.6534,0.3097,0.4252,142220.38,135512.74,ok,grid,,1.80075
0.5,0.03,0.65,10,1.0,0.9113,56.655,"[0.8233, 1.4911, 0.8039]",30.431,0.4766,0.6509,0.3102,0.4306,142866.29,135831.57,ok,grid,,1.79345
1.5,0.03,0.65,3,0.5,0.9565,55.437,"[1.0333, 1.6948, 0.676]",29.492,0.4918,0.6671,0.3077,0.4105,139835.38,134288.12,ok,grid,,1.79105
0.3,0.15,0.5,10,1.0,0.8737,47.995,"[0.9136, 1.5048, 0.6351]",30.47,0.487,0.6614,0.3136,0.4249,141905.43,135516.57,ok,grid,,1.77365
0.9,0.02,0.65,5,0.8,0.9399,58.806,"[0.9624, 1.5353, 0.791]",29.031,0.4703,0.6402,0.3093,0.4137,140598.73,134174.61,ok,grid,,1.7676500000000002
2.417,0.1579,0.285,5,1.544,0.7912,37.412,"[0.9806, 1.542, 0.3406]",31.503,0.5061,0.6839,0.3176,0.4322,142416.56,136405.45,ok,tpe,1.3705,1.7660999999999998
2.0,0.15,0.5,3,0.5,0.8957,46.752,"[1.0568, 1.641, 0.5129]",29.399,0.4944,0.6681,0.3117,0.41,139455.79,134056.01,ok,grid,,1.76225
0.8,0.08,0.35,3,0.5,0.8021,37.891,"[1.0875, 1.5642, 0.2858]",29.718,0.5015,0.6754,0.3154,0.4107,139484.51,134119.8,ok,grid,,1.7239499999999999
1.0,0.05,0.5,5,0.5,0.8121,41.228,"[0.9981, 1.5031, 0.4368]",29.737,0.5004,0.6783,0.301,0.4072,139367.04,133915.46,ok,grid,,1.72085
1.0,0.05,0.65,5,0.5,0.8735,49.181,"[1.0047, 1.5342, 0.5968]",28.59,0.4817,0.6541,0.3025,0.4007,138583.97,133166.5,ok,grid,,1.71985
1.0,0.04,0.45,7,0.8,0.8338,43.645,"[0.977, 1.4962, 0.5085]",29.109,0.4815,0.6513,0.3138,0.4093,139710.4,133937.84,ok,grid,,1.717
1.5,0.05,0.2,10,1.0,0.6755,29.344,"[0.9912, 1.4561, 0.0992]",31.309,0.5153,0.6927,0.3196,0.43,141427.24,135903.92,ok,grid,,1.71305
1.791,0.0752,0.712,9,0.604,0.8666,52.655,"[0.8477, 1.5251, 0.6936]",28.33,0.4696,0.6386,0.306,0.4049,139174.83,133271.54,ok,tpe,1.2794,1.7127
1.0,0.15,0.35,3,0.5,0.7951,37.51,"[1.0693, 1.5422, 0.2877]",29.214,0.4955,0.6669,0.3155,0.4077,138982.4,133544.15,ok,grid,,1.70845
0.4,0.04,0.25,5,0.5,0.677,29.507,"[1.0233, 1.4752, 0.0729]",31.304,0.5269,0.7121,0.2988,0.4179,140528.22,135276.63,ok,grid,,1.7012
1.0,0.15,0.8,5,0.5,0.9211,57.738,"[1.0255, 1.5656, 0.7195]",26.658,0.4528,0.6148,0.3098,0.3915,137177.77,131392.83,ok,grid,,1.69635
0.733,0.2605,0.685,14,0.906,0.8439,53.028,"[0.8623, 1.4116, 0.7032]",27.911,0.4499,0.612,0.3152,0.4075,139949.75,133026.33,ok,tpe,1.2649,1.68685
0.8,0.15,0.65,5,0.5,0.8827,49.845,"[1.0321, 1.5476, 0.5971]",26.94,0.4602,0.6226,0.3125,0.3905,137125.1,131669.28,ok,grid,,1.68255
0.5,0.03,0.2,10,2.0,0.6545,28.273,"[0.8133, 1.4942, 0.1341]",30.434,0.499,0.6724,0.3193,0.4265,141284.23,135409.41,ok,grid,,1.67925
0.4,0.12,0.25,3,0.5,0.7128,31.477,"[1.0362, 1.5277, 0.114]",29.346,0.4991,0.6703,0.318,0.4087,139015.69,133814.62,ok,grid,,1.6729
0.8,0.12,0.65,3,0.3,0.8197,39.922,"[1.0604, 1.5824, 0.3205]",27.531,0.4764,0.6424,0.3127,0.392,137300.82,132241.42,ok,grid,,1.67025
2.25,0.1908,0.842,13,0.773,0.9042,63.509,"[0.8212, 1.4759, 0.8496]",26.126,0.4283,0.5839,0.3135,0.3943,138257.25,131093.71,ok,tpe,1.2169,1.6689999999999998
0.9,0.02,0.25,3,0.5,0.696,30.551,"[0.9984, 1.4923, 0.1182]",29.477,0.5015,0.6736,0.3121,0.4085,139146.98,133925.73,ok,grid,,1.6664999999999996
1.0,0.06,0.65,3,0.3,0.8226,40.137,"[1.0687, 1.5798, 0.3236]",27.291,0.4735,0.6387,0.3126,0.3898,136859.28,131701.44,ok,grid,,1.6643999999999999
0.6,0.08,0.55,3,0.3,0.7721,36.039,"[1.0587, 1.5573, 0.2154]",28.093,0.4841,0.652,0.3144,0.3964,137686.01,132598.89,ok,grid,,1.66295
1.5,0.05,0.35,5,0.5,0.7458,34.545,"[1.0386, 1.4885, 0.2329]",28.353,0.4844,0.6508,0.3177,0.4001,138062.24,132805.38,ok,grid,,1.6575
0.3,0.15,0.2,10,1.0,0.6812,29.648,"[0.9984, 1.4702, 0.0996]",29.437,0.4938,0.6635,0.3199,0.4109,139430.36,133936.67,ok,grid,,1.6562
0.7,0.1,0.5,5,0.5,0.8183,41.596,"[1.0012, 1.521, 0.4389]",27.029,0.465,0.627,0.3152,0.3896,136885.08,131626.8,ok,grid,,1.65335
2.681,0.1563,0.296,5,0.72,0.7626,35.41,"[1.0297, 1.5037, 0.2712]",27.845,0.4753,0.6392,0.3178,0.3946,137599.64,132352.7,ok,tpe,1.2645,1.6458
1.0,0.15,0.2,3,0.5,0.6697,28.809,"[1.0691, 1.4571, 0.0208]",29.108,0.497,0.6665,0.3193,0.4058,138654.23,133523.65,ok,grid,,1.64345
1.79,0.0594,0.112,4,1.466,0.616,25.517,"[1.0064, 1.5054, -0.0812]",30.073,0.5042,0.6763,0.3209,0.4148,139920.29,134681.08,ok,tpe,1.3338,1.6418000000000001
0.8,0.02,0.35,7,0.5,0.7392,34.193,"[1.0932, 1.4834, 0.1893]",27.482,0.4742,0.6374,0.317,0.3905,137115.03,131842.31,ok,grid,,1.6248
0.7,0.1,0.25,3,0.3,0.6308,26.451,"[1.0521, 1.4964, -0.0874]",28.891,0.4958,0.6646,0.3198,0.4038,138441.29,133591.72,ok,grid,,1.6187999999999998
2.079,0.0209,0.276,5,0.61,0.7407,33.634,"[1.0427, 1.4832, 0.2205]",27.025,0.4683,0.6286,0.3178,0.3892,136817.6,131592.05,ok,tpe,1.2467,1.6170499999999999
0.6,0.06,0.3,5,0.5,0.7113,31.955,"[1.018, 1.4848, 0.1553]",27.41,0.474,0.6356,0.3187,0.3918,137063.53,131909.86,ok,grid,,1.61325
0.7,0.1,0.25,7,0.3,0.6034,25.083,"[1.0418, 1.4519, -0.1195]",28.39,0.4891,0.6552,0.3209,0.3989,137817.37,133018.52,ok,grid,,1.5886
0.9,0.12,0.35,7,0.3,0.6424,27.514,"[1.0402, 1.4454, -0.0209]",27.316,0.4756,0.6377,0.3196,0.389,136697.93,131769.92,ok,grid,,1.5748
1.5,0.08,0.5,10,0.2,0.6142,25.846,"[1.0325, 1.4252, -0.0859]",27.776,0.4816,0.6458,0.3205,0.393,137296.1,132245.71,ok,grid,,1.5747
1.0,0.15,0.35,5,0.2,0.5859,24.067,"[1.0475, 1.4307, -0.1583]",27.922,0.4841,0.6484,0.3212,0.3951,137296.12,132423.31,ok,grid,,1.56725
2.411,0.2602,0.34,9,0.307,0.6195,26.272,"[0.999, 1.438, -0.0445]",27.393,0.4765,0.639,0.3189,0.3894,136795.11,131860.68,ok,tpe,1.2553,1.56505
1.0,0.08,0.5,5,0.2,0.6376,27.085,"[1.0523, 1.4641, -0.0667]",26.772,0.4696,0.6296,0.3198,0.3842,136078.97,131266.98,ok,grid,,1.5568
0.3,0.05,0.35,10,0.2,0.5814,23.906,"[1.0571, 1.4164, -0.1716]",27.608,0.4801,0.6429,0.3215,0.392,136967.23,132058.85,ok,grid,,1.5548
0.3,0.05,0.5,10,0.2,0.6205,26.227,"[1.0486, 1.4272, -0.086]",26.831,0.4699,0.6299,0.3205,0.3844,136199.34,131288.85,ok,grid,,1.54895
0.8,0.15,0.8,10,0.2,0.6877,30.773,"[1.0242, 1.4436, 0.0784]",25.1,0.4469,0.6006,0.3184,0.3697,134487.66,129414.44,ok,grid,,1.53015
0.5,0.01,0.2,5,0.2,0.5097,20.076,"[1.005, 1.4083, -0.2841]",27.962,0.4863,0.6506,0.3205,0.394,137192.28,132396.17,ok,grid,,1.52915
0.8,0.08,0.4,7,0.3,0.6674,29.141,"[1.0563, 1.4479, 0.0272]",25.024,0.4467,0.5988,0.3189,0.3695,134394.34,129299.3,ok,grid,,1.5194
