Leverage,Ann. Return%,Sharpe,Sortino,Max DD%,Calmar,MC P(Ann>45%),MC Mean Ann%,MC Median Ann%,WF OOS Sharpe,P(Ann>45%)>=95%
0.5,25.98,2.293,3.728,13.0,1.998,0.0087,26.24,26.03,1.637,NO
0.75,40.82,2.293,3.728,19.0,2.149,0.3646,41.42,40.9,1.643,NO
1.0,57.0,2.293,3.728,24.68,2.309,0.7651,58.13,57.14,1.646,NO
1.25,74.56,2.293,3.728,30.06,2.48,0.9095,76.46,74.78,1.648,NO
1.5,93.57,2.293,3.728,35.14,2.663,0.9627,96.52,93.86,1.65,YES
1.75,114.08,2.293,3.728,39.93,2.857,0.9806,118.44,114.42,1.65,YES
2.0,136.13,2.293,3.728,44.45,3.062,0.9879,142.32,136.59,1.651,YES
2.5,184.96,2.293,3.728,52.7,3.509,0.9934,196.41,185.56,1.652,YES
3.0,240.22,2.293,3.728,59.98,4.005,0.9959,259.67,241.11,1.653,YES
